age,price,mileage,model,make,year
5,21.45,50.07,328,BMW,2014
5,29.888,30.717,328,BMW,2014
5,22.988,36.824,328,BMW,2014
3,27.95,8.575,328,BMW,2016
10,11.888,139.088,328,BMW,2009
11,8.999,100,328,BMW,2008
6,15.997,77.585,328,BMW,2013
4,20.9,45.802,328,BMW,2015
4,25.997,30.915,328,BMW,2015
7,19.988,45.94,328,BMW,2012
4,27.877,13.761,328,BMW,2015
5,28.5,22.906,328,BMW,2014
5,23.983,31.269,328,BMW,2014
11,9.998,114.277,328,BMW,2008
6,16.982,62.511,328,BMW,2013
12,8.657,96.952,328,BMW,2007
5,22.751,36.023,328,BMW,2014
12,9.998,106.93,328,BMW,2007
5,27.9,14.066,328,BMW,2014
5,25,39.714,328,BMW,2014
4,22.981,42.704,328,BMW,2015
12,5.699,141.228,328,BMW,2007
5,24.707,27.914,328,BMW,2014
3,24.394,25.696,328,BMW,2016
5,25.988,28.155,328,BMW,2014
5,25.778,31.401,328,BMW,2014
5,23.988,39.308,328,BMW,2014
4,25.982,21.441,328,BMW,2015
5,23.777,24.178,328,BMW,2014
5,30.9,31.912,328,BMW,2014
7,17.85,37.35,328,BMW,2012
3,33.977,0.04,328,BMW,2016
5,28.9,23.872,328,BMW,2014
5,24.997,40.424,328,BMW,2014
6,17.888,80.396,328,BMW,2013
5,25.998,43.925,328,BMW,2014
6,20.995,29.519,328,BMW,2013
11,9.777,102.865,328,BMW,2008
5,22.876,22.969,328,BMW,2014
5,23.477,43.301,328,BMW,2014
5,23.99,31.053,328,BMW,2014
5,28.9,48.179,328,BMW,2014
3,29.5,8.833,328,BMW,2016
5,23.599,18.407,328,BMW,2014
5,26.991,11.936,328,BMW,2014
4,27.981,17.797,328,BMW,2015
9,13.998,81.578,328,BMW,2010
8,17.995,29.947,328,BMW,2011
5,21.656,56.002,328,BMW,2014
5,29.898,25.2,328,BMW,2014
12,9.75,111.24,328,BMW,2007
5,28.5,40.502,328,BMW,2014
5,23.856,40.782,328,BMW,2014
8,16.877,45.569,328,BMW,2011
5,23.5,34.999,328,BMW,2014
6,15.995,85.565,328,BMW,2013
10,10.995,70.489,328,BMW,2009
8,14.995,92.235,328,BMW,2011
5,25.98,27.419,328,BMW,2014
8,13.995,92.426,328,BMW,2011
8,16.997,38.354,328,BMW,2011
8,13.975,74.474,328,BMW,2011
5,26.88,34.549,328,BMW,2014
4,33.88,21.449,328,BMW,2015
4,36.6,24.779,328,BMW,2015
6,17,74.86,328,BMW,2013
5,19.9,61.303,328,BMW,2014
5,25.88,43.669,328,BMW,2014
10,11.972,92.773,328,BMW,2009
6,19.769,36.707,328,BMW,2013
8,13.995,56,328,BMW,2011
8,14,97.114,328,BMW,2011
6,23.99,41.344,328,BMW,2013
5,27.77,17.262,328,BMW,2014
5,24.99,38.132,328,BMW,2014
8,15.497,75.344,328,BMW,2011
6,18.099,61.951,328,BMW,2013
5,28.98,23.359,328,BMW,2014
5,24.236,54.697,328,BMW,2014
6,19.999,41.583,328,BMW,2013
8,13.98,94.744,328,BMW,2011
5,22.984,21.919,328,BMW,2014
8,14.298,70.982,328,BMW,2011
4,29.288,23.617,328,BMW,2015
10,12,85.091,328,BMW,2009
5,27,51.059,328,BMW,2014
8,14.879,68.543,328,BMW,2011
11,8.295,123.636,328,BMW,2008
8,14.988,72.747,328,BMW,2011
6,18.99,38.927,328,BMW,2013
8,14.96,64.434,328,BMW,2011
5,27.699,31.397,328,BMW,2014
5,26.21,31.118,328,BMW,2014
5,26.95,24.629,328,BMW,2014
10,11.995,75.1,328,BMW,2009
5,22.495,20.734,328,BMW,2014
5,25.931,33.752,328,BMW,2014
5,22.98,36.755,328,BMW,2014
5,25.356,30.232,328,BMW,2014
8,11.98,111.27,328,BMW,2011
12,10.498,165.045,Accord,Honda,2007
3,37.773,25.516,Accord,Honda,2016
5,30.587,29.331,Accord,Honda,2014
3,30.999,33.249,Accord,Honda,2016
2,33.995,14.666,Accord,Honda,2017
3,31.848,42.134,Accord,Honda,2016
6,31.368,52.126,Accord,Honda,2013
5,31.998,28.835,Accord,Honda,2014
7,25.448,48.765,Accord,Honda,2012
4,29.995,29.387,Accord,Honda,2015
14,9.45,151.714,Accord,Honda,2005
